# Quadriceps.jl rule catalog — written by build/build_data.jl; do not edit by hand
# the rules themselves are in rules.bin; bankfile and sha256 name the bank file each rule was taken from
family	d	p	n	moller	relerr	minweight	interior	origin	source_id	bankfile	sha256
gh	2	1	1	1	0.000e+00	1.000000e+00	yes	own	0	hermite_d2_p1_n1.csv	26c8dfde0c398f46e97b7e003644b0d27e252aafffe3f96a22e4f649541a3cd0
gh	2	3	4	4	2.220e-16	1.398499e-01	yes	own	0	hermite_d2_p3_n4.csv	0b430abc7b6884ed957b89ab497b1d7e52435a0b0d73c43627469079c723fe19
gh	2	5	7	7	2.220e-16	8.333333e-02	yes	same-rule: Stroud 1971, E_2^{r^2}:5-4 (identified 2026-09-11; same up to rotation, which the Gaussian weight permits)	10	hermite_d2_p5_n7.csv	f00a39474ffad1521527e385f34ecf053454eb159dd040046b969244e7827f9a
gh	2	7	12	12	4.737e-16	8.285084e-03	yes	own	0	hermite_d2_p7_n12.csv	4b2d079fabc5b38fae324b16290b7ed6d0204b3122694b6e5333070e110a8a93
gh	2	9	18	17	9.474e-16	9.400916e-07	yes	transcribed: Haegemans and Piessens 1977	13	hermite_d2_p9_n18.csv	bae2d03a79f87315645f88b3081b1f8c4fe1cf02e8abd0188916827a212d578a
gh	2	11	25	24	5.921e-16	1.175292e-07	yes	transcribed: Haegemans and Piessens 1976, hexagonal	12	hermite_d2_p11_n25.csv	c1354e95f21825c27a8fc9a7dbea0bec15711d9ef989c956022912f866a654d2
gh	2	13	34	31	7.218e-16	3.858457e-07	yes	transcribed: Cools and Haegemans 1988	14	hermite_d2_p13_n34.csv	fba579e6eb29748f12b236867bcc80baf776a03b6eec64c07f11c18de6bc6997
gh	2	15	44	40	4.307e-16	4.702143e-06	yes	own	0	hermite_d2_p15_n44.csv	70d1cb152133f223a7c46597e5f1ab1505c50ab263d43dc1368387bcc3508bfe
gh	2	17	55	49	9.189e-16	6.672687e-07	yes	own	0	hermite_d2_p17_n55.csv	15df2474baa3062dcfc894da4fe068ba9d4892ac0a6e2205ef96af9e9bd61945
gh	2	19	68	60	5.743e-16	3.147106e-07	yes	own	0	hermite_d2_p19_n68.csv	f8907ef23df635b23cf685a36b122a4db135d50a55013736dd1d5eb96466535a
gh	2	21	82	71	8.649e-16	1.353885e-10	yes	own	0	hermite_d2_p21_n82.csv	ed9f494bfec741e4356acc8e5082dff49ecde041c42bb9ba0f3cae295009b45b
gh	2	23	97	84	7.204e-16	4.220105e-13	yes	own	0	hermite_d2_p23_n97.csv	2162a7c21157b985591ae8625f8dc6edc007deed0d7a134678491a655eae3215
gh	2	25	114	97	7.283e-16	9.411532e-11	yes	own	0	hermite_d2_p25_n114.csv	baf1212b30b2054cb355b74fb66b0e633e85287ea9b69090c1be9d97a3b0173e
gh	2	27	132	112	1.158e-15	3.993119e-15	yes	own	0	hermite_d2_p27_n132.csv	8870f8cf2bc7ed04b71cb15435fcab9d80febb653187dcd8389a588d094b7724
gh	2	29	153	127	1.080e-15	3.739485e-14	yes	own	0	hermite_d2_p29_n153.csv	5944fcf3a787dfcc7a5e791437324838cde043899b5a8fcf73f83aa34e49face
gh	2	31	178	144	6.176e-16	2.977893e-13	yes	own	0	hermite_d2_p31_n178.csv	5f12c5b2bbab3b797cd3e928ca7a1de8b513d7f75869e5d85da0e090e02be0f0
gh	2	33	208	161	8.020e-13	2.691462e-13	yes	own	0	hermite_d2_p33_n208.csv	9c79b342faabedbd1c5d325df76fc4adc5fb00cadd57c759a58af62ad2c8aa0c
gh	2	35	264	180	1.167e-15	4.854778e-15	yes	own	0	hermite_d2_p35_n264.csv	59bbb22c407fb460fe5b1a76d9018cb37821761636dc0f8243b8089125db2075
gh	2	37	357	199	1.931e-12	8.461358e-22	yes	own	0	hermite_d2_p37_n357.csv	ff4346a49a50dc09516f18b3c1473e01cb3226615700ee201589a54c6e6c5877
gh	2	39	394	220	4.122e-12	6.177614e-24	yes	own	0	hermite_d2_p39_n394.csv	5f461e13b87dfb700997db2c10133c2b071fdafb55ca34601a0957f0dccfe0a3
gh	2	41	439	241	7.368e-12	7.618084e-28	yes	own	0	hermite_d2_p41_n439.csv	74e245c696aa888f906245940f298f6789549dbe8201fefb98c0a05762cf2424
gh	2	43	482	264	8.468e-12	2.145253e-29	yes	own	0	hermite_d2_p43_n482.csv	612a4d9d0f8c2c5d8d9021cf2c92a85ff16d76a53d75c7f7f688931af4dd8479
gh	3	1	1	1	0.000e+00	1.000000e+00	yes	own	0	hermite_d3_p1_n1.csv	942a59f571ad2c25936dea810d597465c58902cdeb06fc0c5a205fb507043cf5
gh	3	3	6	6	2.776e-17	1.491498e-01	yes	own	0	hermite_d3_p3_n6.csv	d9ccff33815cd7e17fa192800d4dc5a858df5242c47260102cdeff9ac0df0b7f
gh	3	5	13	13	2.961e-16	5.000000e-02	yes	transcribed: Stroud 1971, icosahedral (closed form)	10	hermite_d3_p5_n13.csv	891b2f4ed715fdcc593e77bb381f48ef8b8b6babcf6170545711083c9cebf6b1
gh	3	7	27	26	4.737e-16	5.195469e-04	yes	same-rule: Stroud 1971, E_n^{r^2}:7-1 option 1 (identified 2026-09-11 vs Burkardt en_r2_07_1)	10	hermite_d3_p7_n27.csv	38bd48851c90011091a8b1e19a9cb3b29dd1987c1dd135c45ee753a424dd9b28
gh	3	9	45	43	4.060e-16	4.629630e-04	yes	same-rule: Konyaev 1977, rule 1 for the weight exp(-rho^2) (identified 2026-09-16 against the closed form printed in Dokl. Akad. Nauk SSSR 233 no. 5, 784-787; same up to rotation, node displacement 9.7e-16)	15	hermite_d3_p9_n45.csv	f9e7006d6ac3f62b90bd735cb8feb9fa68c4f05e27490c902653e4043fad325c
gh	3	11	77	68	8.421e-16	1.239467e-07	yes	own	0	hermite_d3_p11_n77.csv	9fb190ef6aa2a3c93e148af9f15a54144890718588b6fe1b9ed9cb6b6abedc86
